"","JKSE.Open","JKSE.High","JKSE.Low","JKSE.Close","JKSE.Volume","JKSE.Adjusted","Date"
"2017-10-30",5990.194824,6008.630859,5969.210938,5974.077148,58489300,5974.077148,"2017-10-30"
"2017-10-31",6034.381836,6034.618164,5989.858887,6005.78418,54137200,6005.78418,"2017-10-31"
"2017-11-01",6017.041992,6038.990234,6008.369141,6038.145996,54590800,6038.145996,"2017-11-01"
"2017-11-02",6052.028809,6082.228027,6031.106934,6031.106934,54973300,6031.106934,"2017-11-02"
"2017-11-03",6044.793945,6046.262207,5989.679199,6039.541016,46256000,6039.541016,"2017-11-03"
"2017-11-06",6031.518066,6062.064941,6025.073242,6050.823242,60106200,6050.823242,"2017-11-06"
"2017-11-07",6055.746094,6065.285156,6047.265137,6060.453125,48839400,6060.453125,"2017-11-07"
"2017-11-08",6052.987793,6069.765137,6033.553223,6049.383789,69448300,6049.383789,"2017-11-08"
"2017-11-09",6055.548828,6071.541016,6039.859863,6042.459961,55020000,6042.459961,"2017-11-09"
"2017-11-10",6044.282227,6054.53418,6020.455078,6021.828125,52158500,6021.828125,"2017-11-10"
"2017-11-13",6020.749023,6045.48584,6016.986816,6021.456055,52371100,6021.456055,"2017-11-13"
"2017-11-14",6019.105957,6039.296875,5988.291992,5988.291992,61832000,5988.291992,"2017-11-14"
"2017-11-15",6001.917969,6012.658203,5972.311035,5972.311035,71148600,5972.311035,"2017-11-15"
"2017-11-16",5985.625977,6054.241211,5984.704102,6037.907227,53679500,6037.907227,"2017-11-16"
"2017-11-17",6052.51123,6092.352051,6049.957031,6051.731934,50404200,6051.731934,"2017-11-17"
"2017-11-20",6066.74707,6098.778809,6053.282227,6053.282227,52184800,6053.282227,"2017-11-20"
"2017-11-21",6062.233887,6076.227051,6008.685059,6031.861816,55320400,6031.861816,"2017-11-21"
"2017-11-22",6039.085938,6071.339844,6038.736816,6069.785156,63604500,6069.785156,"2017-11-22"
"2017-11-23",6081.418945,6090.643066,6056.125,6063.245117,64708300,6063.245117,"2017-11-23"
"2017-11-24",6064.672852,6069.854004,6035.25293,6067.14209,55260100,6067.14209,"2017-11-24"
"2017-11-27",6059.708008,6072.486816,6035.923828,6064.588867,58933800,6064.588867,"2017-11-27"
"2017-11-28",6055.100098,6070.71582,6015.908203,6070.71582,64775900,6070.71582,"2017-11-28"
"2017-11-29",6066.431152,6073.898926,6045.336914,6061.367188,62226800,6061.367188,"2017-11-29"
"2017-11-30",6053.025879,6058.595215,5952.138184,5952.138184,92104400,5952.138184,"2017-11-30"
"2017-12-01",6053.025879,6058.595215,5952.138184,5952.138184,0,5952.138184,"2017-12-01"
"2017-12-04",6014.062012,6031.921875,5994.348145,5998.194824,64002400,5998.194824,"2017-12-04"
"2017-12-05",6021.084961,6026.412109,5979.47998,6000.474121,65146500,6000.474121,"2017-12-05"
"2017-12-06",6002.540039,6044.334961,6001.085938,6035.507813,49403800,6035.507813,"2017-12-06"
"2017-12-07",6032.054199,6039.294922,6006.834961,6006.834961,48461900,6006.834961,"2017-12-07"
"2017-12-08",6017.962891,6041.132813,6013.75,6030.958008,51772100,6030.958008,"2017-12-08"
"2017-12-11",6043.345215,6052.515137,6024.037109,6026.632813,55665900,6026.632813,"2017-12-11"
"2017-12-12",6038.432129,6042.00293,6012.980957,6032.371094,52951400,6032.371094,"2017-12-12"
"2017-12-13",6027.440918,6054.604004,6020.108887,6054.604004,54220300,6054.604004,"2017-12-13"
"2017-12-14",6065.308105,6117.125977,6061.085938,6113.652832,65223300,6113.652832,"2017-12-14"
"2017-12-15",6098.834961,6119.418945,6075.887207,6119.418945,54744800,6119.418945,"2017-12-15"
"2017-12-18",6111.684082,6133.962891,6080.153809,6133.962891,49833300,6133.962891,"2017-12-18"
"2017-12-19",6113.091797,6176.450195,6110.280762,6167.666016,54873700,6167.666016,"2017-12-19"
"2017-12-20",6165.604004,6167.433105,6088.562012,6109.481934,57345000,6109.481934,"2017-12-20"
"2017-12-21",6129.533203,6183.391113,6126.786133,6183.391113,50733000,6183.391113,"2017-12-21"
"2017-12-22",6181.859863,6221.013184,6167.038086,6221.013184,43710700,6221.013184,"2017-12-22"
"2017-12-25",NA,NA,NA,NA,NA,NA,"2017-12-25"
"2017-12-26",NA,NA,NA,NA,NA,NA,"2017-12-26"
"2017-12-27",6214.258789,6277.165039,6214.258789,6277.165039,43398400,6277.165039,"2017-12-27"
"2017-12-28",6282.440918,6314.045898,6259.60791,6314.045898,57218200,6314.045898,"2017-12-28"
"2017-12-29",6325.621094,6368.321777,6321.092773,6355.653809,63985200,6355.653809,"2017-12-29"
"2018-01-01",NA,NA,NA,NA,NA,NA,"2018-01-01"
"2018-01-02",6366.083008,6445.910156,6326.092773,6339.237793,52168200,6339.237793,"2018-01-02"
